orderId,orderCreatedTime,productIds,CarrierName,productCountry,product Language,Merchant Id,Title,Brand,trackingId,shipmentId
220001532,"Fri, 10 Jun 2022 15:26:14 +05:30",943,,US,en,0117.25-LH-S5,"ABH 0117.25 Jamb Mount Pivot Set,  3/4"" Offset",,,
220001532,"Fri, 10 Jun 2022 15:26:14 +05:30",944,,US,en,FE575 PLY626ELA,"Schlage Residential FE-Series Keypad Cylindrical Lockset, Auto Lock",,,
220001653,"Wed, 31 May 2023 20:33:40 +05:30",1078,,US,en,1609 US19,Von Duprin 1609 Rim Strike Part,Von Duprin,1Z6111230366300657,93
220001653,"Wed, 31 May 2023 20:33:40 +05:30",1079,,US,en,1609 US19,Von Duprin 1609 Rim Strike Part,Von Duprin,1Z6111230366300657,93
