orderId,orderCreatedTime,trackingId,productIds
104,"Thu, 20 Jan 2022 10:20:58 +0000",consignments,products
105,"Thu, 20 Jan 2022 10:22:48 +0000",consignments,products
111,"Wed, 26 Jan 2022 05:45:01 +0000",consignments,products
220001643,"Mon, 27 Feb 2023 06:44:58 +0000",consignments,products
220001645,"Wed, 22 Mar 2023 11:05:19 +0000",consignments,products
220001647,"Wed, 26 Apr 2023 06:24:31 +0000",consignments,products
220001649,"Wed, 03 May 2023 11:09:00 +0000",consignments,products
220001652,"Mon, 22 May 2023 10:00:48 +0000",consignments,products
220001654,"Thu, 01 Jun 2023 06:10:12 +0000",consignments,products
